Date,Private_Domestic(Price_Index),First_hand_sales_quantity,First_hand_sales_amount,Total_completions,Total_stock,Total_take_up,Total_vacancy,Unemployment_rate,CPI,HIBOR_1_month,HK$_million,HSI _close,HSI_volume
1/2/2003,64.55976934,1854.689208,5846897326,33983.76241,1092844.241,19914.08332,74177.81832,7.301524986,73.72148556,1.4442,3562188.724,9365.519531,126907400
1/3/2003,64.50684801,1892.762372,5927522759,33932.81895,1092244.187,19900.00681,74155.621,7.29904288,73.71707904,1.41741,3562585.957,9583.849609,291454400
1/6/2003,64.4538477,1931.338866,5998876299,33882.04125,1091646.228,19886.12524,74133.42925,7.296561495,73.71268426,1.40402,3563043.793,9665.959961,234912800
1/7/2003,64.40076842,1970.418692,6060957947,33831.42931,1091050.365,19872.43859,74111.24307,7.294080832,73.70830124,1.39063,3563562.231,9652.400391,267021800
1/8/2003,64.34761015,2010.001848,6113767702,33780.98312,1090456.597,19858.94688,74089.06245,7.29160089,73.70392997,1.39732,3564141.272,9688.209961,202439200
1/9/2003,64.29437291,2050.088335,6157305564,33730.70268,1089864.924,19845.6501,74066.8874,7.289121669,73.69957044,1.4308,3564780.915,9675.410156,129623200
1/10/2003,64.24105669,2090.678153,6191571534,33680.58801,1089275.347,19832.54825,74044.71792,7.286643169,73.69522267,1.43973,3565481.161,9721.5,172862200
1/13/2003,64.18766148,2131.771301,6216565611,33630.63908,1088687.866,19819.64133,74022.554,7.284165391,73.69088666,1.42857,3566242.009,9834.080078,197967600
1/14/2003,64.1341873,2173.367781,6232287795,33580.85592,1088102.48,19806.92934,74000.39565,7.281688334,73.68656239,1.43304,3567063.46,9796.30957,168152000
1/15/2003,64.08063414,2215.467591,6238738087,33531.23851,1087519.19,19794.41229,73978.24286,7.279211998,73.68224987,1.43304,3567945.513,9873.490234,215218800
1/16/2003,64.02700201,2258.070732,6235916486,33481.78685,1086937.995,19782.09017,73956.09564,7.276736383,73.67794911,1.4308,3568888.169,9743.230469,189955000
1/17/2003,63.97329089,2297.299605,6221749158,33432.50096,1086358.896,19769.96298,73933.95399,7.27426149,73.6736601,1.42411,3569828.285,9614.589844,171659400
1/20/2003,63.91950079,2329.276611,6194162268,33383.38081,1085781.892,19758.03072,73911.81791,7.271787318,73.66938283,1.40625,3570702.72,9552.019531,176223000
1/21/2003,63.86563171,2354.00175,6153155818,33334.42643,1085206.983,19746.29339,73889.68739,7.269313867,73.66511732,1.40625,3571511.473,9568.469727,142951600
1/22/2003,63.81168366,2371.475022,6098729805,33285.6378,1084634.171,19734.751,73867.56243,7.266841137,73.66086356,1.39955,3572254.545,9560.290039,177654800
1/23/2003,63.75765662,2381.696427,6030884232,33237.01492,1084063.453,19723.40354,73845.44305,7.264369129,73.65662156,1.39955,3572931.935,9584.700195,143682000
1/24/2003,63.70355061,2384.665964,5949619097,33188.55781,1083494.831,19712.25101,73823.32923,7.261897842,73.6523913,1.40179,3573543.644,9460.599609,220192000
1/27/2003,63.64936562,2380.383635,5854934400,33140.26645,1082928.305,19701.29341,73801.22098,7.259427276,73.64817279,1.39063,3574089.671,9298.669922,192059400
1/28/2003,63.59510165,2368.849438,5746830142,33092.14084,1082363.874,19690.53075,73779.11829,7.256957431,73.64396604,1.39509,3574570.017,9325.599609,132839200
1/29/2003,63.5407587,2350.063375,5625306323,33044.18099,1081801.539,19679.96301,73757.02117,7.254488308,73.63977104,1.40402,3574984.682,9240.790039,179591200
1/30/2003,63.48633677,2324.025444,5490362942,32996.3869,1081241.299,19669.59021,73734.92961,7.252019906,73.63558779,1.43973,3575333.665,9258.950195,151874200
1/31/2003,63.6,2291,5342000000,32948.75856,1080683.155,19659.41234,73712.84363,7.4,73.9,1.562766284,3575617,9276.622873,148066431.1
2/4/2003,63.37725597,2250.193982,5180217496,32901.29598,1080127.106,19649.4294,73690.76321,7.247085265,73.62725654,1.4375,3575834.586,9252.709961,157056000
2/5/2003,63.3225971,2202.40045,5005015431,32853.99915,1079573.153,19639.6414,73668.68835,7.244619027,73.62310854,1.41964,3575986.525,9180.469727,156418400
2/6/2003,63.26785926,2147.355051,4816393804,32806.86808,1079021.295,19630.04832,73646.61906,7.242153509,73.61897229,1.41741,3576072.782,9126.150391,191530600
2/7/2003,63.21304243,2085.057785,4614352617,32759.90277,1078471.533,19620.65018,73624.55534,7.239688713,73.6148478,1.39955,3576093.358,9150.950195,153250800
2/10/2003,63.15814663,2015.508652,4398891867,32713.10321,1077923.866,19611.44697,73602.49719,7.237224639,73.61073505,1.39286,3576048.252,9232.139648,145628000
2/11/2003,63.10317184,1938.707652,4170011556,32666.46941,1077378.295,19602.43869,73580.4446,7.234761285,73.60663406,1.39063,3575937.464,9194.910156,201740000
2/12/2003,63.04811808,1854.654785,3927711684,32620.00136,1076834.819,19593.62535,73558.39758,7.232298653,73.60254482,1.38616,3575760.996,9314.900391,173360400
2/13/2003,62.99298534,1763.35005,3671992251,32573.69907,1076293.439,19585.00693,73536.35612,7.229836742,73.59846733,1.37723,3575518.845,9173.429688,182251200
2/14/2003,62.93777362,1664.793449,3402853256,32527.56254,1075754.154,19576.58345,73514.32023,7.227375552,73.59440159,1.37723,3575211.014,9201.759766,127095400
2/17/2003,62.88248292,1560.884903,3125911354,32481.59176,1075216.965,19568.3549,73492.28991,7.224915084,73.5903476,1.3817,3574838.674,9383.679688,193064000
2/18/2003,62.82711324,1463.023945,2874866479,32435.78674,1074681.871,19560.32128,73470.26515,7.222455337,73.58630537,1.375,3574408.87,9397.049805,123444800
2/19/2003,62.77166458,1373.110499,2655335285,32390.14747,1074148.873,19552.4826,73448.24596,7.219996311,73.58227488,1.37723,3573922.774,9427.629883,171202200
2/20/2003,62.71613695,1291.144564,2467317772,32344.67396,1073617.97,19544.83884,73426.23234,7.217538006,73.57825615,1.38393,3573380.386,9390.480469,157138600
2/21/2003,62.66053033,1217.12614,2310813941,32299.36621,1073089.163,19537.39002,73404.22428,7.215080423,73.57424916,1.38616,3572781.708,9250.860352,175479200
2/24/2003,62.60484474,1151.055227,2185823790,32254.22421,1072562.451,19530.13613,73382.22179,7.21262356,73.57025393,1.38839,3572126.737,9239.469727,119645600
2/25/2003,62.54908016,1092.931825,2092347321,32209.24797,1072037.835,19523.07717,73360.22487,7.21016742,73.56627045,1.39063,3571415.476,9148.480469,188640600
2/26/2003,62.49323661,1042.755934,2030384533,32164.43748,1071515.314,19516.21315,73338.23351,7.207712,73.56229872,1.41518,3570647.922,9116.280273,129927000
2/27/2003,62.43731408,1000.527554,1999935426,32119.79275,1070994.889,19509.54405,73316.24772,7.205257301,73.55833875,1.42188,3569824.078,9134.240234,189162400
2/28/2003,63.4,966,2001000000,32075.31378,1070476.559,19503.06989,73294.26749,7.6,73.8,1.41741,3568944,9122.660156,149296400
3/3/2003,62.32523207,939.913327,2033578256,32031.00056,1069960.325,19496.79066,73272.29284,7.200350068,73.55045405,1.39286,3568007.515,9268.769531,213816000
3/4/2003,62.2690726,921.5274803,2097670193,31986.8531,1069446.186,19490.70636,73250.32375,7.197897533,73.54652932,1.38393,3567014.796,9181.889648,123162000
3/5/2003,62.21283415,911.0891446,2193275811,31942.8714,1068934.143,19484.817,73228.36022,7.19544572,73.54261635,1.37946,3565965.786,9109.179688,177331800
3/6/2003,62.15651673,908.59832,2320395110,31899.05545,1068424.195,19479.12256,73206.40226,7.192994628,73.53871513,1.37946,3564860.484,8962.259766,196951400
3/7/2003,62.10012032,914.0550065,2479028090,31855.40525,1067916.343,19473.62306,73184.44987,7.190544257,73.53482566,1.37946,3563698.891,8907.099609,177031200
3/10/2003,62.04364493,927.459204,2669174752,31811.92082,1067410.586,19468.31849,73162.50304,7.188094607,73.53094794,1.35045,3562481.006,8861.870117,205221000
3/11/2003,61.98709057,948.8109125,2890835095,31768.60213,1066906.925,19463.20885,73140.56178,7.185645678,73.52708197,1.30804,3561206.831,8859.929688,216936600
3/12/2003,61.93045723,978.1101322,3144009119,31725.44921,1066405.36,19458.29414,73118.62609,7.183197471,73.52322776,1.30804,3559876.363,8874.990234,186314600
3/13/2003,61.8737449,1015.356863,3428696824,31682.46204,1065905.889,19453.57437,73096.69596,7.180749985,73.51938529,1.31473,3558489.605,8787.450195,202531200
3/14/2003,61.8169536,1060.551105,3744898210,31639.64062,1065408.515,19449.04953,73074.7714,7.17830322,73.51555458,1.33036,3557046.554,8956.169922,194059400
3/17/2003,61.76008332,1112.724058,4086071291,31596.98497,1064913.236,19444.71962,73052.85241,7.175857177,73.51173562,1.32366,3555572.39,8804.160156,143293200
3/18/2003,61.70313406,1166.062924,4412964141,31554.49507,1064420.052,19440.58464,73030.93898,7.173411854,73.50792841,1.3192,3554218.178,9041.509766,226360000
3/19/2003,61.64610582,1219.598903,4719034773,31512.17092,1063928.964,19436.64459,73009.03112,7.170967253,73.50413295,1.33036,3553009.094,9158.589844,358875000
3/20/2003,61.5889986,1273.331996,5004283188,31470.01253,1063439.971,19432.89948,72987.12883,7.168523374,73.50034924,1.375,3551945.14,9194.55957,310922800
3/21/2003,61.5318124,1327.262202,5268709385,31428.0199,1062953.074,19429.3493,72965.2321,7.166080215,73.49657728,1.3683,3551026.315,9179.19043,239063000
3/24/2003,61.47454722,1381.389522,5512313365,31386.19302,1062468.273,19425.99404,72943.34094,7.163637778,73.49281708,1.37277,3550252.618,9108.450195,248268800
3/25/2003,61.41720307,1435.713954,5735095127,31344.5319,1061985.566,19422.83373,72921.45535,7.161196062,73.48906862,1.37054,3549624.051,9062.150391,165816200
3/26/2003,61.35977993,1490.2355,5937054672,31303.03653,1061504.956,19419.86834,72899.57532,7.158755067,73.48533192,1.37054,3549140.613,9047.089844,144579000
3/27/2003,61.30227782,1544.95416,6118191999,31261.70692,1061026.441,19417.09789,72877.70086,7.156314793,73.48160697,1.375,3548802.303,8872.320313,249802600
3/28/2003,61.24469673,1599.869933,6278507108,31220.54307,1060550.021,19414.52236,72855.83196,7.153875241,73.47789376,1.375,3548609.123,8863.360352,205900800
3/31/2003,61.2,1655,6418000000,31179.54497,1060075.697,19412.14177,72833.96863,7.5,73.9,1.375,3548561,8634.450195,324820000
4/1/2003,61.12975117,1710.292818,6536670674,31138.71263,1059603.468,19409.95611,72812.11087,7.1489983,73.47050262,1.36607,3548658.15,8596.889648,312633200
4/2/2003,61.07329384,1765.799931,6634519130,31098.04604,1059133.335,19407.96539,72790.25867,7.146560912,73.46682467,1.375,3548900.357,8706.19043,256060000
4/3/2003,61.01766466,1821.504157,6711545369,31057.54521,1058665.298,19406.16959,72768.41204,7.144124244,73.46315847,1.39286,3549287.693,8648.160156,222034400
4/4/2003,60.96286363,1877.405496,6767749391,31017.21014,1058199.356,19404.56873,72746.57098,7.141688298,73.45950403,1.38393,3549820.158,8822.450195,235744400
4/7/2003,60.90889076,1933.503949,6803131194,30977.04082,1057735.509,19403.1628,72724.73548,7.139253073,73.45586134,1.38393,3550497.752,8962.209961,221557200
4/8/2003,60.85574604,1989.799514,6817690781,30937.03726,1057273.758,19401.9518,72702.90555,7.13681857,73.4522304,1.38839,3551320.475,8806.660156,205961200
4/9/2003,60.80342947,2046.292194,6811428149,30897.19946,1056814.103,19400.93573,72681.08119,7.134384787,73.44861121,1.38839,3552288.327,8636.849609,275309600
4/10/2003,60.75194106,2102.981986,6784343300,30857.52741,1056356.542,19400.1146,72659.26239,7.131951726,73.44500377,1.40848,3553401.308,8625.719727,240883200
4/11/2003,60.7012808,2159.868892,6736436234,30818.02111,1055901.078,19399.4884,72637.44916,7.129519387,73.44140808,1.4308,3554659.418,8645.650391,254681400
